"word_rank","word","frequency"
432,GRAVE,21831
433,CHASE,21830
434,FACES,21771
435,BADLY,21750
436,SHOCK,21717
437,PIZZA,21677
438,IMAGE,21669
439,PLATE,21466
440,MERCY,21410
441,SHOTS,21399
442,DROVE,21309
443,WOUND,21144
444,TERMS,21034
445,CRACK,20916
446,JENNY,20899
447,CHOSE,20888
448,STOOD,20827
449,BELOW,20771
450,MARCH,20744
451,ASIDE,20677
452,SPELL,20592
453,FREAK,20578
454,AWAKE,20552
455,PRIME,20480
456,WHORE,20444
457,PIANO,20426
458,MOVES,20349
459,VALUE,20324
460,UNION,20316
461,MEDIA,20306
462,SONGS,20215
463,PRIDE,20205
464,PILLS,20181
465,METAL,19938
466,LOUIS,19754
467,CANDY,19571
468,BRIDE,19249
469,PENNY,19236
470,CLAIM,19233
471,SOLVE,19166
472,THEME,19163
473,CHUCK,19107
474,FALSE,19075
475,PUNCH,18951
476,FALLS,18897
477,WITCH,18890
478,TIRES,18678
479,TOAST,18638
480,NOTES,18614
481,ROOMS,18562
482,COAST,18547
483,HATED,18529
484,STEPS,18492
485,BEAST,18414
486,SIGNS,18381
487,JAPAN,18308
488,SHIFT,18253
489,EXACT,18213
490,SCORE,18120
491,MARKS,18117
492,PILOT,18070
493,ARMED,17960
494,GRADE,17882
495,JUICE,17879
496,TOWER,17842
497,WHEEL,17795
498,FRUIT,17773
499,TALKS,17763
500,RANGE,17758
501,YOUTH,17703
502,EATEN,17689
503,KNEES,17671
504,ALIEN,17513
505,HELPS,17480
506,ROUTE,17472
507,TRACE,17465
508,NASTY,17464
509,TESTS,17462
510,ROCKS,17459
511,MERRY,17407
512,SNAKE,17335
513,ACTOR,17318
514,JONES,17294
515,ANGER,17258
516,SHARP,17246
517,SQUAD,17220
518,KINDS,17172
519,SUCKS,17110
520,BORED,17028
521,BEEPS,16989
522,CHAIN,16978
523,FULLY,16943
524,ROBIN,16921
525,CURSE,16867
526,LEADS,16844
527,BLOWS,16823
528,LOSER,16663
529,CLIMB,16614
530,TRASH,16555
531,PRIZE,16489
532,STOCK,16373
533,FACTS,16365
534,BRAVO,16320
535,WINGS,16298
536,GLORY,16221
537,BARRY,16213
538,APPLE,16192
539,HATES,15968
540,SHIPS,15878
541,TERRY,15820
542,MUMMY,15781
543,ALERT,15747
544,MINDS,15707
545,PANIC,15707
546,TIGER,15646
547,SAINT,15618
548,JESSE,15612
549,SOLID,15581
550,CHICK,15412
551,DEMON,15328
552,CROWN,15281
553,DOZEN,15139
554,SWING,15079
555,MOLLY,14980
556,MIXED,14977
557,STAYS,14944
558,SLAVE,14888
559,CAROL,14887
560,CRUEL,14872
561,SALLY,14857
562,DAILY,14647
563,BOUND,14619
564,GUIDE,14614
565,FELLA,14583
566,ROMAN,14575
567,COUCH,14529
568,CHEER,14507
569,VEGAS,14494
570,TITLE,14488
571,FEVER,14430
572,SIREN,14411
573,SIDES,14403
574,DRAMA,14284
575,ADULT,14267
576,KILLS,14233
577,JOINT,14190
578,BOOTS,14143
579,CIVIL,14131
580,SHINE,14055
581,JOKES,14047
582,ARGUE,14042
583,TRAIL,14033
584,PUSSY,13922
585,DONNA,13918
586,SHOUT,13856
587,BLAST,13764
588,SWEAT,13581
589,COSTS,13561
590,TEDDY,13549
591,MASON,13518
592,KITTY,13499
593,CRUSH,13497
594,SUITS,13469
595,NOBLE,13437
596,BETTY,13426
597,TEXAS,13351
598,SKULL,13299
599,SHOWN,13295
600,PRINT,13293
601,BILLS,13286
602,SAUCE,13249
603,GRASS,13219
604,CHEAT,13204
605,LEWIS,13201
606,TYLER,13196
607,BIBLE,13193
608,STEEL,13177
609,BURNS,13175
610,CABIN,13159
611,SHEEP,13127
612,BRAND,13107
613,VIRUS,12984
614,PLAIN,12952
615,ROBOT,12886
616,WALKS,12837
617,PURSE,12740
618,CELLS,12693
619,HOLLY,12610
620,TEAMS,12567
621,TRIBE,12451
622,WAVES,12451
623,EQUAL,12433
624,CHILL,12405
625,OSCAR,12396
626,NERVE,12377
627,STAKE,12356
628,UNITS,12323
629,SPAIN,12200
630,SEATS,12199
631,NANCY,12149
632,THICK,12143
633,SPORT,12131
634,BASIC,12130
635,CLIFF,12109
636,RAPED,12088
637,FORTH,12049
638,BANKS,12029
639,FETCH,12029
640,GUILT,11973
641,BLOWN,11886
642,BOOTH,11880
643,RANDY,11863
644,TRUNK,11828
645,HOMES,11826
646,DRANK,11765
647,BOXES,11699
648,GOODS,11659
649,SALAD,11646
650,LOYAL,11641
651,MOUSE,11619
652,HILLS,11575
653,FAIRY,11562
654,FRAME,11555
655,HABIT,11536
656,HOLES,11505
657,STRIP,11481
658,LOUSY,11454
659,SOULS,11454
660,BELLY,11442
661,TRIES,11441
662,HOPES,11409
663,FENCE,11402
664,LIMIT,11384
665,GIFTS,11365
666,GREEK,11339
667,HOPED,11315
668,WIVES,11285
669,CRIED,11236
670,BELLS,11222
671,PULSE,11145
672,CLOUD,11125
673,PITCH,11022
674,HOLDS,11004
675,CHARM,10980
676,APPLY,10970
677,FOOLS,10969
678,SALES,10950
679,CLOWN,10883
680,MINOR,10781
681,CHAOS,10764
682,CHIPS,10734
683,ANGLE,10724
684,DATES,10660
685,GATES,10658
686,CARED,10611
687,SCALE,10519
688,BEATS,10517
689,RALPH,10474
690,BOMBS,10459
691,SHARK,10456
692,SNEAK,10416
693,SHELL,10381
694,DRILL,10349
695,CRIES,10306
696,BEGUN,10285
697,LIVER,10281
698,MORON,10229
699,SANDY,10207
700,ALBUM,10199
701,ALLEY,10145
702,PENIS,10143
703,ALIBI,10141
704,SAMMY,10138
705,BLADE,10100
706,ALPHA,10093
707,WIDOW,10080
708,MORAL,10077
709,AWARD,10055
710,GRIEF,10054
711,TOOLS,10020
712,NOVEL,9997
713,OPERA,9918
714,BRIEF,9876
715,TWINS,9850
716,PRICK,9801
717,CRAIG,9781
718,FORMS,9776
719,VOTES,9774
720,ABUSE,9756
721,ELDER,9722
722,BEARD,9718
723,AREAS,9709
724,GIMME,9685
725,BURNT,9678
726,UPPER,9674
727,SHORE,9666
728,LEMON,9653
729,CRANE,9625
730,FRAUD,9599
731,BEANS,9553
732,PAGES,9543
733,TENSE,9542
734,DRAWN,9493
735,MOTOR,9489
736,BEARS,9466
737,STEAK,9450
738,TOOTH,9408
739,CABLE,9369
740,SOCKS,9361
741,SENDS,9325
742,SLIDE,9324
743,SHAWN,9321
744,ROADS,9270
745,ENTRY,9269
746,MOUNT,9239
747,POUND,9235
748,MOTEL,9233
749,BRICK,9209
750,BRUSH,9186
751,DELAY,9179
752,BAKER,9155
753,BADGE,9133
754,LABOR,9117
755,EAGLE,9058
756,SONNY,9017
757,RILEY,9001
758,BASIS,8975
759,TWIST,8971
760,KINGS,8944
761,INNER,8942
762,CENTS,8941
763,PATCH,8938
764,DROPS,8934
765,HUMOR,8919
766,ROCKY,8902
767,ADDED,8891
768,RADAR,8868
769,AMBER,8866
770,OWNED,8858
771,SORTS,8835
772,LOGAN,8799
773,BOOZE,8781
774,VODKA,8757
775,SOLAR,8753
776,YARDS,8749
777,WEARS,8715
778,PHASE,8690
779,ACTED,8641
780,SMASH,8631
781,ROSES,8627
782,POKER,8624
783,YELLS,8590
784,SOBER,8569
785,NIECE,8561
786,COLIN,8513
787,TOWEL,8491
788,DAISY,8489
789,BUNNY,8457
790,SKILL,8447
791,BARON,8441
792,PETTY,8431
793,DIARY,8423
794,WAGON,8420
795,MITCH,8417
796,BACON,8411
797,DUTCH,8403
798,CLICK,8401
799,BURST,8398
800,SUNNY,8377
801,SHEET,8346
802,FRIED,8345
803,GROWS,8294
804,RANCH,8263
805,SAFER,8257
806,LANDS,8252
807,NAILS,8234
808,ASHES,8212
809,BOATS,8192
810,STEAM,8179
811,PEARL,8175
812,LUNGS,8097
813,SARGE,8091
814,IDEAL,8087
815,SPOIL,8079
816,TYPES,8068
817,LANCE,8068
818,BLOKE,8066
819,NANNY,8037
820,VITAL,7997
821,BENNY,7990
822,VOTED,7967
